id,asins,brand,categories,colors,dateAdded,name,prices.amountMin,prices.currency
AVpfW3U-ilAPnD_xaT9i,B00KMC9UGG,TooLoud,"Novelty,Novelty & More,Men,Sweatshirts,Clothing, Shoes & Jewelry,Clothing","AshGray,White",2015-12-09T08:45:19Z,Made In 1923 Sweatshirt,27.95,USD
AVpfG57_ilAPnD_xVG_3,"B01APILI98,B01APILKH8",Design By Humans,"Novelty,Hoodies,Men,Novelty & More,Women,Clothing, Shoes & Jewelry,Clothing","Black,White,Navy,Charcoal",2016-01-18T22:03:07Z,Flowers Women's Graphic Zip Hoodie - Design By Humans,48.00,USD
AVpfOY3HilAPnD_xXlYj,B00S5O2UTW,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Hoop PurpleUrgent Orange,2015-10-14T03:18:21Z,"Nike Mens Kd Vi Premium what The Kd"" Hoop Purple/urgent Orange 669809-500""",395.0,USD
AVpe4VR91cnluZ0-Y4M1,"B017MZ2TY0,B017LK76HG,B018H0VV0C",Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Dove GreyAnthraciteLt Retro,Off-White",2015-12-25T11:40:48Z,Nike Men's Zoom Stefan Janoski Cnvs Skate Shoe,82.28,USD
AVpfCQLWLJeJML4309dE,"B00809VX1I,B016669WTG,B00WDYGOIS,B00WDYGQ4K",Nike,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball","BlackMetallic Silver-Blue Lgn-Volt,BlakMtllc SilverBl LgnVlt,BlackGold",2015-10-14T03:15:34Z,Kobe X Elite Men's Basketball Shoe,159.97,USD
AVpfCJLjilAPnD_xTfFZ,"B01BI0P3ZM,B005ANUGGA",Nike,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Racquet Sports,Tennis","White,WhiteTotal CrimsonUniversity RedBlack,WhiteTotal CrimsonBlack",2016-04-02T14:47:39Z,Mens Zoom Vapor 9.5 Tour Tennis Shoes,119.99,USD
AVpfQjEOLJeJML435vP6,B004YD6VUW,Fox Outdoor,"Sports,Clothing, Shoes & Jewelry,Men,Accessories,Hats & Caps,Skullies & Beanies","Black PoliceGold Lettering,Vietnam Vet Black,Army LogoBlack,Israeli ParatrooperBurgundy,Israeli Air ForceNavy,BlackNavy,Army Black,Black Police,US Air Force,Sheriff BrownGold Lettering,Fire DepartmentNavy,US Navy,Navy LogoBlack,Israeli Police,Black Swat,Sheriff Black",2015-12-02T02:41:05Z,Fox Outdoor Products Embroidered Watch Cap,10.95,USD
AVpfHKWzLJeJML432oj8,B002F00D9G,,"Shoes,Shoes & Handbags,Men,Athletic,Fitness & Cross Training,Sandals,Women","Dark BlueWhiteDkblue,BlackWhiteBlack,True BlueWhiteTrue Blue,Black",2016-03-26T17:59:12Z,Adidas Duramo Slide Sandal,19.99,USD
AVpe9d7XilAPnD_xR08-,"B00FY8DIB6,B004Y6R3VU,B00C1DBIP0,B00PKV586A,B004Y6R4MI",Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Yellow,2016-04-01T18:57:05Z,New Mens Sz 7 Nike Mercurial Vapor Ix Fg Yellow Fade Orange Soccer Cleats Boots,159.92,USD
AVpfFVceilAPnD_xUlJr,B018W5RLNI,NEONBLOND,"Novelty,Accessories,Novelty & More,Men,Clothing, Shoes & Jewelry,Clothing,Neckties","Chevron Red Green,Christmas Cookies,Wooden holiday decorations,Christmas Town,Red Xmas Sparkels,Winter Berrys",2016-02-26T18:09:42Z,Necktie Airportcode Pnl Pantelleria Christmas Tie Neonblond,28.99,USD
AVpe8S0h1cnluZ0-aWl_,"B00VALFMRO,B00VALFT90,B00VALF61G",Nike,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Shoes & Cleats,Sporting Goods",Orange,2016-03-31T23:17:42Z,New Mens 12.5 Nike Tiempo Legend V Ag Acc Laser & Total Orange Soccer Cleats,179.90,USD
